BBL,borough,zip5,median_household_income,res_unit,eviction_count,hpd_2025_habitability_count,hpd_2025_strict_count,vacate_count,litigation_count,is_aep,lien_amount,water,C,I,dob_violations,winner_score,baseline_score
1012030020,MN,10024,182614.0,9.0,1.0,329.0,322.0,1.0,0.0,False,40416.0,28329.51,694.0,0.0,25.0,207.6,0.04
3049810001,BK,11210,83261.0,420.0,90.0,325.0,245.0,1.0,18.0,True,1388184.0,0.0,2619.0,1.0,685.0,712.3,90.73
1016160001,MN,10029,38308.0,600.0,25.0,322.0,261.0,3.0,15.0,False,36500440.0,610320.3999999998,890.0,2.0,314.0,517.2,14.11
1022150339,MN,10463,72952.0,84.0,19.0,319.0,262.0,0.0,12.0,False,170337.0,0.0,735.0,0.0,41.0,300.9,91.32
1017370059,MN,10037,51250.0,257.0,35.0,318.0,267.0,4.0,5.0,False,754929.0,392397.95,818.0,5.0,211.0,460.1,45.04
2033430204,BX,10467,47806.0,74.0,11.0,318.0,308.0,0.0,2.0,False,68454.0,7862.57,573.0,0.0,189.0,281.3,7.4
2025370047,BX,10452,37854.0,55.0,9.0,318.0,281.0,1.0,11.0,False,52081.0,0.0,445.0,0.0,125.0,217.5,28.23
2032870056,BX,10458,42107.0,65.0,11.0,316.0,222.0,0.0,4.0,True,65775.0,0.0,1501.0,3.0,79.0,467.6,97.71
2028140069,BX,10457,44911.0,114.0,21.0,315.0,245.0,0.0,8.0,True,266983.0,216489.34999999998,822.0,0.0,6.0,357.9,11.88
1009720001,MN,10009,87963.0,8764.0,85.0,314.0,276.0,3.0,1.0,False,1257068.0,4285252.83,160.0,0.0,633.0,302.2,0.13
3057910019,BK,11220,64201.0,16.0,1.0,313.0,257.0,0.0,0.0,True,426377.0,218784.09,1149.0,3.0,27.0,349.8,10.08
2036810001,BX,10473,50609.0,355.0,52.0,306.0,249.0,3.0,13.0,False,1130218.0,14419203.11,1476.0,8.0,232.0,673.6,18.94
1010150001,MN,10036,100225.0,652.0,24.0,301.0,243.0,0.0,2.0,False,132256.0,79592.62,1096.0,1.0,90.0,379.7,4.84
1017370069,MN,10037,51250.0,259.0,31.0,298.0,212.0,1.0,5.0,False,736358.0,191823.68,588.0,1.0,334.0,394.1,43.54
3011760009,BK,11238,132957.0,58.0,5.0,297.0,242.0,0.0,1.0,False,7659.0,768268.97,574.0,0.0,119.0,261.4,82.42
