BBL,borough,zip5,median_household_income,res_unit,eviction_count,hpd_2025_habitability_count,hpd_2025_strict_count,vacate_count,litigation_count,is_aep,lien_amount,water,C,I,dob_violations,winner_score,baseline_score
3033070014,BK,11237,82570.0,6.0,0.0,0.0,0.0,0.0,0.0,False,75885.0,155106.23,353.0,0.0,104.0,164.7,234.39
3025590020,BK,11222,123963.0,6.0,0.0,0.0,0.0,0.0,0.0,False,75409.0,10742.63,48.0,62.0,0.0,67.9,178.41
3054160001,BK,11237,82570.0,6.0,0.0,0.0,0.0,0.0,0.0,False,75228.0,649150.82,16.0,73.0,62.0,132.7,925.74
1012440044,MN,10024,182614.0,30.0,0.0,0.0,0.0,0.0,0.0,False,74620.0,6284.88,18.0,0.0,165.0,46.5,176.07
3021830001,BK,11237,82570.0,18.0,0.0,0.0,0.0,0.0,0.0,False,74567.0,1876.43,18.0,0.0,347.0,93.1,170.45
3012580032,BK,11213,62040.0,6.0,0.0,0.0,0.0,0.0,0.0,False,74562.0,329878.85,26.0,0.0,341.0,164.4,199.67
3075580059,BK,11210,83261.0,8.0,0.0,0.0,0.0,0.0,0.0,False,74402.0,0.0,0.0,20.0,206.0,118.7,1075.37
3051700031,BK,11237,82570.0,24.0,0.0,0.0,0.0,0.0,0.0,False,74289.0,0.0,0.0,0.0,486.0,162.8,385.61
1011840083,MN,10023,157866.0,25.0,0.0,0.0,0.0,0.0,0.0,False,74269.0,4053.81,0.0,0.0,52.0,13.0,167.19
2032490196,BX,10458,42107.0,17.0,0.0,0.0,0.0,0.0,0.0,False,73937.0,0.0,23.0,0.0,0.0,3.3,439.4
3015100044,BK,11233,62034.0,6.0,0.0,0.0,0.0,0.0,0.0,False,73787.0,219398.94,62.0,23.0,49.0,52.3,176.3
4017370030,QN,11368,71798.0,17.0,0.0,0.0,0.0,0.0,0.0,False,73193.0,0.0,0.0,0.0,0.0,0.0,248.99
3014830012,BK,11237,82570.0,7.0,0.0,0.0,0.0,0.0,0.0,False,72979.0,0.0,0.0,0.0,89.0,29.0,228.93
1017110010,MN,10035,40556.0,8.0,0.0,0.0,0.0,0.0,0.0,False,72906.0,655846.45,33.0,9.0,0.0,32.6,214.76
3052910013,BK,11218,95916.0,6.0,0.0,0.0,0.0,0.0,0.0,False,71675.0,94812.06,42.0,0.0,99.0,103.8,236.45
4006880031,QN,11103,92787.0,8.0,0.0,0.0,0.0,0.0,0.0,False,71358.0,42023.75,280.0,21.0,221.0,171.2,261.09
2028720035,BX,10458,42107.0,81.0,0.0,0.0,0.0,0.0,0.0,False,70994.0,0.0,130.0,0.0,0.0,16.4,351.38
